[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000795s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ShowPageTrace Behavior [ RunTime:0.000198s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.000227s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/Js/jquery-1.8.2.min.js | ERR: (ThinkException) 非法操作Js
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/Css/copy.css | ERR: (ThinkException) 非法操作Css
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000238s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000288s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000138s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000174s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005247s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005303s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000403s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000370s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000228s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000247s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001416s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000218s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000251s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000594s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.000663s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000260s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000299s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run LocationTemplate Behavior [ RunTime:0.000136s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_template ] --END-- [ RunTime:0.000172s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_parse ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ParseTemplate Behavior [ RunTime:0.004846s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004900s ]
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:37:52+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ContentReplace Behavior [ RunTime:0.000199s ]
