[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000250s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000285s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Index/getMsg | NOTIC: [8] Memcache::connect(): Server 127.0.0.1 (tcp 11211) failed with: Connection refused (61) CacheMemcache.class.php 第 45 行.
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Index/getMsg | NOTIC: [2] Memcache::connect(): Can't connect to 127.0.0.1:11211, Connection refused (61) CacheMemcache.class.php 第 45 行.
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Index/getMsg | NOTIC: [2] Memcache::get(): No servers added to memcache connection CacheMemcache.class.php 第 75 行.
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000411s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000467s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000232s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000266s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000140s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000178s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.004817s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004883s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000230s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000251s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000141s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000264s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001006s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000247s ]
[ 2013-04-01T09:24:09+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000282s ]
[ 2013-04-01T10:59:48+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-04-01T10:59:48+08:00 ] /weibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000480s ]
[ 2013-04-01T10:59:48+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000547s ]
[ 2013-04-01T10:59:48+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-01T10:59:48+08:00 ] /weibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000310s ]
